Date,CPI,CPIH,RPI
2003 DEC,1.3,1.3,2.8
2004 JAN,1.4,1.5,2.6
2004 FEB,1.3,1.4,2.5
2004 MAR,1.1,1.2,2.6
2004 APR,1.1,1.1,2.5
2004 MAY,1.5,1.4,2.8
2004 JUN,1.6,1.5,3
2004 JUL,1.4,1.4,3
2004 AUG,1.3,1.4,3.2
2004 SEP,1.1,1.2,3.1
2004 OCT,1.2,1.3,3.3
2004 NOV,1.5,1.5,3.4
2004 DEC,1.7,1.8,3.5
2005 JAN,1.6,1.7,3.2
2005 FEB,1.7,1.7,3.2
2005 MAR,1.9,2,3.2
2005 APR,1.9,1.9,3.2
2005 MAY,1.9,1.9,2.9
2005 JUN,2,2,2.9
2005 JUL,2.3,2.3,2.9
2005 AUG,2.4,2.4,2.8
2005 SEP,2.5,2.5,2.7
2005 OCT,2.3,2.4,2.5
2005 NOV,2.1,2.2,2.4
2005 DEC,1.9,2.1,2.2
2006 JAN,1.9,2.2,2.4
2006 FEB,2,2.2,2.4
2006 MAR,1.8,2,2.4
2006 APR,2,2.2,2.6
2006 MAY,2.2,2.4,3
2006 JUN,2.5,2.6,3.3
2006 JUL,2.4,2.5,3.3
2006 AUG,2.5,2.6,3.4
2006 SEP,2.4,2.5,3.6
2006 OCT,2.4,2.5,3.7
2006 NOV,2.7,2.8,3.9
2006 DEC,3,2.9,4.4
2007 JAN,2.7,2.7,4.2
2007 FEB,2.8,2.7,4.6
2007 MAR,3.1,2.9,4.8
2007 APR,2.8,2.7,4.5
2007 MAY,2.5,2.5,4.3
2007 JUN,2.4,2.5,4.4
2007 JUL,1.9,2,3.8
2007 AUG,1.8,2,4.1
2007 SEP,1.8,2,3.9
2007 OCT,2.1,2.3,4.2
2007 NOV,2.1,2.2,4.3
2007 DEC,2.1,2.3,4
2008 JAN,2.2,2.4,4.1
2008 FEB,2.5,2.6,4.1
2008 MAR,2.5,2.6,3.8
2008 APR,3,3,4.2
2008 MAY,3.3,3.3,4.3
2008 JUN,3.8,3.7,4.6
2008 JUL,4.4,4.2,5
2008 AUG,4.7,4.4,4.8
2008 SEP,5.2,4.8,5
2008 OCT,4.5,4.2,4.2
2008 NOV,4.1,3.8,3
2008 DEC,3.1,3,0.9
2009 JAN,3,2.9,0.1
2009 FEB,3.2,3.1,0
2009 MAR,2.9,2.8,-0.4
2009 APR,2.3,2.3,-1.2
2009 MAY,2.2,2.1,-1.1
2009 JUN,1.8,1.7,-1.6
2009 JUL,1.8,1.6,-1.4
2009 AUG,1.6,1.4,-1.3
2009 SEP,1.1,1,-1.4
2009 OCT,1.5,1.2,-0.8
2009 NOV,1.9,1.5,0.3
2009 DEC,2.9,2.1,2.4
2010 JAN,3.5,2.6,3.7
2010 FEB,3,2.1,3.7
2010 MAR,3.4,2.4,4.4
2010 APR,3.7,2.7,5.3
2010 MAY,3.4,2.5,5.1
2010 JUN,3.2,2.4,5
2010 JUL,3.1,2.3,4.8
2010 AUG,3.1,2.4,4.7
2010 SEP,3.1,2.4,4.6
2010 OCT,3.2,2.5,4.5
2010 NOV,3.3,2.6,4.7
2010 DEC,3.7,3.1,4.8
2011 JAN,4,3.4,5.1
2011 FEB,4.4,3.7,5.5
2011 MAR,4,3.5,5.3
2011 APR,4.5,3.8,5.2
2011 MAY,4.5,3.8,5.2
2011 JUN,4.2,3.6,5
2011 JUL,4.4,3.8,5
2011 AUG,4.5,3.9,5.2
2011 SEP,5.2,4.5,5.6
2011 OCT,5,4.3,5.4
2011 NOV,4.8,4.1,5.2
2011 DEC,4.2,3.7,4.8
2012 JAN,3.6,3.2,3.9
2012 FEB,3.4,3.1,3.7
2012 MAR,3.5,3.1,3.6
2012 APR,3,2.8,3.5
2012 MAY,2.8,2.5,3.1
2012 JUN,2.4,2.3,2.8
2012 JUL,2.6,2.4,3.2
2012 AUG,2.5,2.3,2.9
2012 SEP,2.2,2.1,2.6
2012 OCT,2.7,2.4,3.2
2012 NOV,2.7,2.4,3
2012 DEC,2.7,2.4,3.1
2013 JAN,2.7,2.4,3.3
2013 FEB,2.8,2.5,3.2
2013 MAR,2.8,2.5,3.3
2013 APR,2.4,2.2,2.9
2013 MAY,2.7,2.4,3.1
2013 JUN,2.9,2.6,3.3
2013 JUL,2.8,2.5,3.1
2013 AUG,2.7,2.4,3.3
2013 SEP,2.7,2.4,3.2
2013 OCT,2.2,2,2.6
2013 NOV,2.1,1.9,2.6
2013 DEC,2,1.9,2.7
2014 JAN,1.9,1.8,2.8
2014 FEB,1.7,1.6,2.7
2014 MAR,1.6,1.5,2.5
2014 APR,1.8,1.7,2.5
2014 MAY,1.5,1.5,2.4
2014 JUN,1.9,1.8,2.6
2014 JUL,1.6,1.6,2.5
2014 AUG,1.5,1.5,2.4
2014 SEP,1.2,1.3,2.3
2014 OCT,1.3,1.3,2.3
2014 NOV,1,1.1,2
2014 DEC,0.5,0.7,1.6
2015 JAN,0.3,0.5,1.1
2015 FEB,0,0.4,1
2015 MAR,0,0.3,0.9
2015 APR,-0.1,0.3,0.9
2015 MAY,0.1,0.4,1
2015 JUN,0,0.3,1
2015 JUL,0.1,0.5,1
2015 AUG,0,0.4,1.1
2015 SEP,-0.1,0.2,0.8
2015 OCT,-0.1,0.2,0.7
2015 NOV,0.1,0.4,1.1
2015 DEC,0.2,0.5,1.2
2016 JAN,0.3,0.6,1.3
2016 FEB,0.3,0.6,1.3
2016 MAR,0.5,0.8,1.6
2016 APR,0.3,0.7,1.3
2016 MAY,0.3,0.7,1.4
2016 JUN,0.5,0.8,1.6
2016 JUL,0.6,0.9,1.9
2016 AUG,0.6,1,1.8
2016 SEP,1,1.3,2
2016 OCT,0.9,1.3,2
2016 NOV,1.2,1.5,2.2
2016 DEC,1.6,1.8,2.5
2017 JAN,1.8,1.9,2.6
2017 FEB,2.3,2.3,3.2
2017 MAR,2.3,2.3,3.1
2017 APR,2.7,2.6,3.5
2017 MAY,2.9,2.7,3.7
2017 JUN,2.6,2.6,3.5
2017 JUL,2.6,2.6,3.6
2017 AUG,2.9,2.7,3.9
2017 SEP,3,2.8,3.9
2017 OCT,3,2.8,4
2017 NOV,3.1,2.8,3.9
2017 DEC,3,2.7,4.1
2018 JAN,3,2.7,4
2018 FEB,2.7,2.5,3.6
2018 MAR,2.5,2.3,3.3
2018 APR,2.4,2.2,3.4
2018 MAY,2.4,2.3,3.3
2018 JUN,2.4,2.3,3.4
2018 JUL,2.5,2.3,3.2
2018 AUG,2.7,2.4,3.5
2018 SEP,2.4,2.2,3.3
2018 OCT,2.4,2.2,3.3
2018 NOV,2.3,2.2,3.2
2018 DEC,2.1,2,2.7
2019 JAN,1.8,1.8,2.5
2019 FEB,1.9,1.8,2.5
2019 MAR,1.9,1.8,2.4
2019 APR,2.1,2,3
2019 MAY,2,1.9,3
2019 JUN,2,1.9,2.9
2019 JUL,2.1,2,2.8
2019 AUG,1.7,1.7,2.6
2019 SEP,1.7,1.7,2.4
2019 OCT,1.5,1.5,2.1
2019 NOV,1.5,1.5,2.2
2019 DEC,1.3,1.4,2.2
2020 JAN,1.8,1.8,2.7
2020 FEB,1.7,1.7,2.5
2020 MAR,1.5,1.5,2.6
2020 APR,0.8,0.9,1.5
2020 MAY,0.5,0.7,1
2020 JUN,0.6,0.8,1.1
2020 JUL,1,1.1,1.6
2020 AUG,0.2,0.5,0.5
2020 SEP,0.5,0.7,1.1
2020 OCT,0.7,0.9,1.3
